name,sprite,type1,type2,habitat,colors,evolution_stage,height,weight
bulbasaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,grass,poison,grassland,green,1,0.7,6.9
ivysaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,grass,poison,grassland,green,2,1.0,13.0
venusaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,grass,poison,grassland,green,3,2.0,100.0
charmander,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,fire,None,mountain,red,1,0.6,8.5
charmeleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,fire,None,mountain,red,2,1.1,19.0
charizard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,fire,flying,mountain,red,3,1.7,90.5
squirtle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,water,None,waters-edge,blue,1,0.5,9.0
wartortle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,water,None,waters-edge,blue,2,1.0,22.5
blastoise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,water,None,waters-edge,blue,3,1.6,85.5
caterpie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,bug,None,forest,green,1,0.3,2.9
metapod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,bug,None,forest,green,2,0.7,9.9
butterfree,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,bug,flying,forest,white,3,1.1,32.0
weedle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,bug,poison,forest,brown,1,0.3,3.2
kakuna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,bug,poison,forest,yellow,2,0.6,10.0
beedrill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,bug,poison,forest,yellow,3,1.0,29.5
pidgey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,normal,flying,forest,brown,1,0.3,1.8
pidgeotto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,normal,flying,forest,brown,2,1.1,30.0
pidgeot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,normal,flying,forest,brown,3,1.5,39.5
rattata,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,normal,None,grassland,purple,1,0.3,3.5
raticate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,normal,None,grassland,brown,2,0.7,18.5
